item_name,Measure,Units,Grams
nutmeg,1,piece,0.46
oat,1,cup,81.28
oat,1,g can,0.34
oat,1,g package,0.34
oat,1,large,0.34
oat bran,1,large,0.4
oatmeal,1,g package,1.0
oatmeal,1,small,0.34
oil,1,g can,0.95
oil,1,g package,0.95
oil,1,large,0.95
oil,1,small,0.95
olive,1,g can,1.0
olive,1,large,0.19
onion,1,big,160.0
onion,1,large,150.0
onion,1,medium,110.0
onion,1,small,70.0
onion,1,unit,160.0
onion,1,whole,160.0
onion soup mix,1,envelope,7.5
onion soup mix,1,g package,1.0
onion soup mix,1,package,7.5
onion soup mix,1,packet,39.0
orange,1,large,184.0
orange,1,medium,140.0
orange,1,scoop,140.0
orange,1,sections,14.0
orange,1,slice,14.0
orange,1,slices,14.0
orange,1,small,96.0
orange,1,tbsp,6.0
orange,1,unit,140.0
orange,1,whole,140.0
orange bell pepper,1,unit,114.0
orange juice,1,g can,3.67
orange juice,1,large,1.05
orange juice,1,loaf,1.05
orange juice,1,oz,31.1
orange juice,1,small,1.05
orange juice,1,unit,83.0
orange juice,1,whole,1.05
orange rind,1,unit,12.0
orange sherbet,1,scoop,148.0
orange soda,1,g can,1.0
orange tea bag,1,teabag,2.0
orange yogurt,1,g carton,1.0
orange yogurt,1,g container,1.0
orange yogurt,1,unit,170.1
orange zest,1,g box,0.41
orange zest,1,g can,1.05
orange zest,1,large,6.0
orange zest,1,medium,0.41
orange zest,1,tbsp,15.55
orange zest,1,unit,12.0
papaya,1,medium,165.0
papaya,1,small,165.0
papaya,1,unit,165.0
papaya nectar,1,g can,1.0
parmesan cheese,1,envelope,5.0
parmesan cheese,1,large,0.38
parsnip,1,medium,100.0
parsnip,1,small,133.0
parsnip,1,unit,133.0
passion fruit,1,unit,29.5
passion fruit juice,1,unit,14.75
pasta sauce,1,g container,1.0
pasta sauce,1,g jar,1.0
peach,1,g can,1.0
peach,1,large,175.0
peach,1,medium,150.0
peach,1,slice,17.5
peach,1,small,130.0
peach,1,unit,175.0
peach,1,whole,175.0
peach jam,1,jar,20.0
peach nectar,1,g can,1.0
peach preserves,1,g jar,1.0
peach syrup,1,half,30.0
peach yogurt,1,g carton,1.0
peach yogurt,1,g container,1.0
peanut butter,1,g package,1.09
pear,1,large,230.0
pear,1,medium,178.0
pear,1,small,148.0
pear,1,unit,178.0
pear,1,whole,178.0
pear nectar,1,g can,1.0
peas,1,g can,1.0
peas and carrots,1,g can,1.0
pecan,1,cup,113.0
pecan,1,g can,0.44
pecan,1,g jar,0.44
pecan,1,g package,0.44
pecan,1,large,0.44
pecan,1,medium,0.44
pepper bacon,1,slice,28.0
peppermint tea,1,bag,2.0
pepperoncini pepper,1,large,17.0
pepperoncini pepper,1,whole,73.0
persimmon,1,large,168.0
picante sauce,1,g jar,1.0
pimiento,1,g jar,1.0
pineapple,1,chunks,20.0
pineapple,1,g can,1.0
pineapple,1,large,165.0
pineapple,1,medium,165.0
pineapple,1,slice,83.0
pineapple,1,slices,83.0
pineapple,1,small,835.0
pineapple,1,unit,835.0
pineapple,1,whole,835.0
pineapple juice,1,g can,1.0
pineapple juice,1,oz,31.3
pineapple juice,1,packet,1.06
pineapple sherbet,1,scoop,74.0
pineapple yogurt,1,g carton,1.0
pinto bean,1,can,442.0
pinto bean,1,g can,1.0
pizza sauce,1,g can,1.0
pizza sauce,1,g jar,1.0
plain greek yogurt,1,g carton,1.0
plain greek yogurt,1,unit,151.1
plain soy yogurt,1,g container,1.0
plain yogurt,1,g carton,1.0
plain yogurt,1,g container,1.0
plain yogurt,1,g package,0.96
plum,1,small,66.0
plum tomato,1,large,182.0
plum tomato,1,unit,62.0
poppy seed,1,g package,0.58
poppy seed,1,large,0.58
pork,1,piece,28.35
pork sausage,1,g package,1.0
potato,1,g can,1.0
potato,1,large,369.0
potato,1,medium,213.0
potato,1,small,170.0
potato,1,unit,213.0
potato starch,1,large,0.81
powdered sugar,1,cup,115.0
prosciutto,1,slice,28.35
protein powder,1,package,32.0
protein powder,1,scoop,32.0
protein powder,1,tblsp,11.03
protein shake mix,1,scoop,295.0
provolone cheese,1,slice,28.0
pudding mix,1,g box,1.0
pudding mix,1,g package,1.0
pumpernickel,1,slice,21.25
pumpkin,1,g bottle,0.49
pumpkin,1,g can,1.0
pumpkin,1,large,0.49
pumpkin,1,loaf,0.49
pumpkin,1,packet,1.0
pumpkin chip,1,g package,1.0
pumpkin pie filling,1,g can,1.0
pumpkin pie filling,1,scoop,270.0
pumpkin pie spice,1,medium,0.36
pumpkin puree,1,bag,1.04
pumpkin puree,1,g bottle,1.04
pumpkin puree,1,g can,1.0
raisin,1,clove,0.66
raisin,1,g can,0.66
raisin,1,g package,0.66
raisin,1,large,0.66
raisin,1,loaf,0.66
ramen noodle,1,g package,1.0
ranch dressing mix,1,g package,1.0
raspberry,1,g container,1.0
raspberry,1,small,2.0
raspberry,1,unit,2.0
raspberry,1,whole,2.0
raspberry gelatin mix,1,g package,1.0
raspberry gelatin mix,1,package,85.04
raspberry yogurt,1,g container,1.0
raw garlic,1,cloves,3.0
raw garlic,1,head,1.5
raw garlic,1,unit,3.0
red bell pepper,1,large,164.0
red bell pepper,1,medium,119.0
red bell pepper,1,small,45.0
red bell pepper,1,unit,119.0
red chili pepper,1,small,45.0
red onion,1,large,150.0
red onion,1,medium,110.0
red onion,1,small,70.0
red onion,1,whole,160.0
red pepper,1,large,164.0
red pepper,1,medium,119.0
red pepper,1,small,74.0
red pepper,1,unit,149.0
red pepper,1,whole,149.0
red potato,1,large,369.0
red potato,1,medium,213.0
red potato,1,small,170.0
rhubarb,1,large,0.52
rhubarb,1,stalk,51.0
rice a roni,1,package,56.0
rice flour,1,large,0.67
rice pilaf,1,g package,1.0
ritz crackers,1,g package,1.0
ritz crackers,1,package,3.3
roasted red pepper,1,g jar,1.0
roma tomato,1,g can,1.0
roma tomato,1,small,62.0
romaine lettuce,1,head,626.0
romaine lettuce,1,large,626.0
romaine lettuce,1,leaf,17.0
romano cheese,1,g bottle,1.0
roquefort,1,g package,1.0
rosemary dried,1,sprig,1.2
rotel diced tomatoes & green chilies,1,can,411.0
rotel diced tomatoes & green chilies,1,g can,1.0
rum extract,1,teaspoon,1.0
russian dressing,1,g bottle,1.0
rye bread,1,piece,32.0
rye bread,1,slice,21.33
salsa,1,g jar,1.0
salt,1,box,1.11
salt,1,can,1.11
salt,1,clove,1.11
salt,1,g bag,1.11
salt,1,g box,1.11
salt,1,g can,1.11
salt,1,g jar,1.11
salt,1,g package,1.11
salt,1,large,1.11
salt,1,loaf,1.11
salt,1,medium,1.11
salt,1,package,1.11
salt,1,packet,1.11
salt,1,small,1.11
salt,1,teaspoon,6.0
salt,1,whole,1.11
saltine,1,count,3.0
saltine,1,g package,1.0
saltine,1,package,3.0
sandwich bread,1,slice,25.0
sauerkraut,1,g can,1.0
sea salt,1,g can,1.11
seasoned salt,1,packet,1.2
seasoning,1,g package,1.0
self rising corn meal,1,large,0.52
self rising flour,1,g package,1.0
self rising flour,1,package,0.53
sesame seed,1,g package,0.54
shallots,1,large,42.53
shallots,1,medium,42.53
shallots,1,small,42.53
shallots,1,unit,42.53
sherbet,1,scoop,148.0
shiitake,1,g package,1.0
shiitake,1,large,19.0
shortening,1,bunch,0.87
shortening,1,large,0.87
shortening,1,medium,0.96
shredded coconut,1,inch,85.0
shrimp,1,g can,1.0
silken tofu,1,box,340.19
silken tofu,1,g box,1.0
silken tofu,1,g can,1.05
silken tofu,1,g package,1.0
silken tofu,1,scoop,32.0
skim milk,1,cups,245.0
skim milk,1,fluid ounce,28.34
skim milk,1,g can,1.04
skim milk,1,g jar,1.04
smoked ham,1,slice,28.35
smoked salmon,1,slice,30.0
soup,1,g can,1.0
soup mix,1,envelope,7.5
soup mix,1,g package,1.0
soup mix,1,package,7.5
soup mix,1,packet,39.0
sour cream,1,container,157.0
sour cream,1,cup,226.67
sour cream,1,g box,0.89
sour cream,1,g can,1.0
sour cream,1,g container,1.0
sour cream,1,large,0.89
sour milk,1,small,1.04
sourdough bread,1,slice,64.0
soy flour,1,large,0.35
soy milk,1,g can,1.03
spaghetti sauce,1,can,132.0
spaghetti sauce,1,g can,1.0
spaghetti sauce,1,g jar,1.0
spanish rice mix,1,g box,1.0
sparkling water,1,g bottle,1.0
spelt flour,1,g can,0.54
spinach,1,bunch,340.0
splenda brown sugar,1,g can,0.97
sponge cake with creamy filling,1,unit,42.0
squash,1,small,127.0
star anise seed,1,unit,0.2
star fruit,1,large,124.0
star fruit,1,unit,91.0
stevia,1,g package,5.38
stevia,1,package,8.4
stevia,1,packet,8.4
stevia,1,tbsp,12.55
stewed tomatoes,1,g can,1.0
stove top stuffing,1,g box,1.0
stove top stuffing,1,g package,1.0
strawberry,1,large,18.0
strawberry,1,medium,12.0
strawberry,1,medium sized,12.0
strawberry,1,scoop,86.75
strawberry,1,small,7.0
strawberry,1,unit,18.0
strawberry,1,whole,18.0
strawberry banana yogurt,1,g carton,1.0
strawberry banana yogurt,1,g container,1.0
strawberry candy cane,1,unit,14.0
strawberry drink mix,1,g package,1.0
strawberry gelatin mix,1,g package,1.0
strawberry ice cream,1,scoop,66.0
strawberry jelly,1,small,0.0
strawberry milk mix,1,packet,36.0
strawberry protein powder,1,scoop,47.0
strawberry yogurt,1,box,1.0
strawberry yogurt,1,g carton,1.0
strawberry yogurt,1,g container,1.0
strawberry yogurt,1,unit,170.0
stuffing,1,g box,1.0
stuffing mix,1,g box,1.0
stuffing mix,1,g package,1.0
sucralose,1,g can,0.85
sucralose,1,large,0.85
sucralose,1,loaf,0.96
sucralose,1,packet,8.4
sucralose,1,tsp,2.8
sugar,1,box,0.85
sugar,1,can,0.85
sugar,1,g bag,0.85
sugar,1,g box,0.85
sugar,1,g can,0.85
sugar,1,g package,0.85
sugar,1,large,0.85
sugar,1,medium,0.85
sugar,1,package,0.85
sugar,1,packet,0.85
sugar,1,small,0.85
sugar snap pea,1,g package,1.0
summer squash,1,medium,196.0
summer squash,1,small,118.0
sweet corn,1,g can,1.0
sweet green bell pepper,1,medium,119.0
sweet italian sausage,1,g package,1.0
sweet onion,1,large,331.0
sweet onion,1,medium,331.0
sweet onion,1,small,331.0
sweet potato,1,large,133.0
sweet potato,1,medium,133.0
sweet potato,1,small,133.0
sweet red bell pepper,1,medium,119.0
swiss cheese,1,slice,28.0
swiss cheese,1,unit,28.0
taco seasoning,1,g package,1.0
taco seasoning,1,package,5.7
tangelo,1,small,68.0
tangerine,1,whole,88.0
tap water,1,g box,1.0
tap water,1,g can,1.0
tap water,1,large,1.0
tea,1,tea bag,2.0
toast,1,piece,22.0
toast,1,slice,22.0
toffee ice cream,1,scoop,148.0
tofu,1,box,349.0
tofu,1,g package,1.0
tomato,1,g can,1.0
tomato,1,large,182.0
tomato,1,medium,123.0
tomato,1,slice,20.67
tomato,1,small,91.0
tomato chili sauce,1,bottle,6.0
tomato chili sauce,1,g bottle,1.0
tomato chili sauce,1,g can,1.0
tomato chili sauce,1,g jar,1.0
tomato chili sauce,1,jar,6.0
tomato juice,1,g can,1.0
tomato paste,1,g can,1.0
tomato puree,1,g can,1.0
tomato sauce,1,can,491.4
tomato sauce,1,g can,1.0
tomato sauce,1,g jar,1.0
tomato soup,1,can,488.0
tomato soup,1,g can,1.0
tortellini,1,g package,1.0
tortilla,1,unit,24.0
turkey bacon,1,slice,12.9
turkey breast,1,large,114.0
turkey sausage,1,g package,1.0
turkey stuffing,1,g box,1.0
turkey stuffing,1,g package,1.0
turnip,1,large,183.0
turnip,1,medium,122.0
turnip,1,small,61.0
turnip,1,unit,130.0
v8 juice,1,g can,1.0
vanilla bean paste,1,teaspoon,4.2
vanilla caramel latte mix,1,tbsp,14.2
vanilla extract,1,g box,0.87
vanilla extract,1,g can,0.87
vanilla extract,1,g carton,1.0
vanilla extract,1,g package,0.87
vanilla extract,1,large,0.87
vanilla extract,1,medium,0.87
vanilla extract,1,package,0.87
vanilla extract,1,scoop,4.2
vanilla extract,1,small,0.87
vanilla extract,1,squirt,1.05
vanilla extract,1,teaspoon,4.2
vanilla frozen yogurt,1,scoop,72.0
vanilla ice cream,1,cup,150.0
vanilla ice cream,1,large,132.0
vanilla ice cream,1,package,0.56
vanilla ice cream,1,scoop,66.0
vanilla ice cream,1,scoops,68.0
vanilla milk mix,1,envelope,36.0
vanilla milk mix,1,packet,36.0
vanilla protein powder,1,scoop,32.0
vanilla pudding mix,1,g package,1.0
vanilla pudding mix,1,package,84.0
vanilla shake powder,1,g can,1.0
vanilla shake powder,1,scoop,31.0
vanilla soy milk,1,g container,1.0
vanilla soy yogurt,1,g container,1.0
vanilla yogurt,1,container,81.56
vanilla yogurt,1,g carton,1.0
vanilla yogurt,1,g container,1.0
vanilla yogurt,1,scoop,56.7
vanilla yogurt,1,unit,113.39
vegetable juice,1,g can,1.0
vegetable oil,1,g box,0.92
vegetable oil,1,g can,0.92
vegetable oil,1,g package,0.92
vegetable oil,1,large,0.92
vegetable oil,1,loaf,0.92
vegetable oil,1,package,0.92
vegetable oil,1,small,0.92
vegetable soup mix,1,g package,1.0
vegetable stock,1,can,220.0
vegetable stock,1,g box,1.0
vegetable stock,1,g can,1.0
walnut,1,clove,0.44
walnut,1,g can,0.44
walnut,1,g package,1.0
walnut,1,large,0.44
walnut,1,package,0.44
walnut,1,small,0.44
water,1,cup,236.6
water,1,g box,1.0
water,1,g can,1.0
water,1,g jar,1.0
water,1,g package,1.0
water,1,glass,236.73
water,1,large,1.0
water,1,tablespoon,14.79
water chestnut,1,g can,1.0
watercress,1,bunch,34.0
watermelon,1,kg,1000.0
watermelon,1,small,286.0
watermelon,1,whole,4576.0
wheat biscuit cereal,1,large,19.5
wheat bread,1,slice,29.0
wheat flakes,1,large,0.81
wheat flour,1,box,0.53
wheat flour,1,g can,0.53
wheat flour,1,large,0.53
wheat flour,1,medium,0.53
wheat germ,1,large,0.49
wheat tortilla,1,large,49.0
whipped cream,1,g package,1.0
whipped cream cheese,1,g package,1.0
white bean,1,g can,1.0
white bread,1,piece,27.0
white bread,1,slice,25.0
white cheddar cheese,1,g box,1.0
white chocolate raspberry yogurt,1,g container,1.0
white onion,1,large,150.0
white onion,1,medium,110.0
white onion,1,small,70.0
white onion,1,unit,160.0
white sugar,1,bunch,0.85
white sugar,1,g can,0.85
white sugar,1,large,0.85
white sugar,1,loaf,0.85
white sugar,1,medium,0.85
whole berry cranberry sauce,1,can,277.0
whole berry cranberry sauce,1,g can,1.0
whole chicken,1,unit,920.0
whole milk,1,cup,240.0
whole milk ricotta cheese,1,g carton,1.0
whole wheat bread,1,slice,32.0
whole wheat flour,1,g can,0.51
whole wheat flour,1,g package,0.51
whole wheat flour,1,large,0.53
whole wheat flour,1,loaf,0.53
whole wheat pasta,1,g package,1.0
wild rice,1,g box,1.0
xanthan gum,1,g can,0.96
yellow bell pepper,1,medium,119.0
yellow onion,1,large,150.0
yellow onion,1,medium,110.0
yellow onion,1,small,70.0
yellow onion,1,unit,160.0
yellow snap bean,1,g can,1.0
yellow squash,1,medium,113.0
yellow squash,1,small,118.0
yellow squash,1,unit,113.0
yogurt,1,g carton,1.0
yogurt,1,g container,1.0
yukon gold potato,1,small,170.0
zucchini,1,g bottle,0.5
zucchini,1,g can,1.0
zucchini,1,g package,0.5
zucchini,1,large,323.0
zucchini,1,medium,196.0
zucchini,1,package,0.5
zucchini,1,piece,0.5
zucchini,1,small,118.0
zucchini,1,unit,124.0
acai mixed berry juice,1,ml,1.12
acini di pepe pasta,1,ml,0.38
adobo sauce,1,ml,1.07
agave syrup,1,ml,1.16
alfalfa sprout,1,ml,0.16
all bran cereal,1,ml,0.16
all purpose flour,1,ml,0.53
allspice,1,ml,0.4
almond,1,ml,0.58
almond butter,1,ml,1.07
almond coconut milk,1,ml,1.01
almond extract,1,ml,0.87
almond flour,1,ml,0.47
almond granola,1,ml,0.41
almond milk,1,ml,1.05
almond paste,1,ml,0.96
almond syrup,1,ml,1.35
aloe vera gel,1,ml,1.01
amaranth flour,1,ml,0.51
amaretto,1,ml,1.18
amaretto coffee creamer,1,ml,2.37
american cheese,1,ml,0.96
ancho chile pepper,1,ml,0.96
anchovy paste,1,ml,0.95
anise seed,1,ml,0.44
apple,1,ml,0.49
apple butter,1,ml,1.17
apple cider,1,ml,1.05
apple cider vinegar,1,ml,1.01
apple jelly,1,ml,1.35
apple juice,1,ml,1.05
apple liqueur,1,ml,1.05
apple pie filling,1,ml,0.85
apple pie spice,1,ml,0.53
apple yogurt,1,ml,1.05
applesauce,1,ml,1.04
apricot,1,ml,0.68
apricot jam,1,ml,1.35
apricot nectar,1,ml,1.06
apricot preserve,1,ml,1.35
arborio rice,1,ml,0.85
arrowroot,1,ml,0.51
arugula,1,ml,0.08
asiago cheese,1,ml,0.34
asparagus,1,ml,0.57
avocado,1,ml,0.74
baby arugula,1,ml,0.18
baby carrot,1,ml,0.46
baby spinach,1,ml packed,0.13
bacon,1,ml,0.96
bacon bits,1,ml,0.47
bacon fat,1,ml,0.87
bacon grease,1,ml,0.87
baking chocolate,1,ml,0.56
baking mix,1,ml,0.51
baking powder,1,ml,0.93
baking soda,1,ml,0.93
balsamic vinegar,1,ml,1.08
bamboo shoot,1,ml,0.55
banana,1,ml,0.79
banana baby food,1,ml,1.07
banana cake mix,1,ml,0.55
banana chips,1,ml,0.3
banana cream pudding mix,1,ml,0.3
banana extract,1,ml,0.79
banana instant pudding,1,ml,0.3
banana nut crunch cereal,1,ml,0.25
banana pudding mix,1,ml,0.3
banana yogurt,1,ml,1.05
barbeque sauce,1,ml,1.17
barley,1,ml,0.85
barley flour,1,ml,0.63
basmati rice,1,ml,0.78
bay leaf,1,ml,0.12
bean flour,1,ml,0.39
bean sprout,1,ml,0.44
bee pollen,1,ml,1.35
beef base,1,ml,0.03
beef bouillon,1,ml,0.41
beef bouillon cube,1,ml,0.41
beef bouillon granules,1,ml,0.41
beef bouillon powder,1,ml,0.41
beef broth,1,ml,1.01
beef stock,1,ml,1.01
beer,1,ml,1.0
beet root,1,ml,0.57
beet root juice,1,ml,1.06
belgian endive,1,ml,0.38
bell pepper,1,ml,0.55
berries,1,ml,0.6
berry,1,ml,0.6
berry juice,1,ml,1.04
berry preserve,1,ml,1.35
berry yogurt,1,ml,1.06
biscuit mix,1,ml,0.47
black bean,1,ml,1.01
black olive,1,ml,0.57
black pepper,1,ml,0.81
black peppercorns,1,ml,0.81
blackberry,1,ml,0.61
blackberry jam,1,ml,1.35
blackberry juice,1,ml,1.06
blackberry spread,1,ml,1.35
blackberry wine,1,ml,0.99
blood orange juice,1,ml,1.04
blue cheese,1,ml,0.57
blue cheese dressing,1,ml,1.01
blue cheese salad dressing,1,ml,1.01
blue green algae,1,ml,0.12
blueberry,1,ml,0.63
blueberry frozen yogurt,1,ml,0.41
blueberry juice,1,ml,0.76
blueberry sorbet,1,ml,0.3
blueberry yogurt,1,ml,0.96
bocconcini,1,ml,0.47
bok choy,1,ml,0.72
boneless skinless chicken,1,ml,0.87
bonito flakes,1,ml,0.04
bosc pear,1,ml,0.59
bourbon,1,ml,0.74
boysenberry,1,ml,0.56
bran flour,1,ml,0.56
brandy,1,ml,0.74
brazil nut,1,ml,0.56
bread,1,ml,0.17
bread crumb,1,ml,0.46
brewed black tea,1,ml,-1.0
brewed camomile tea,1,ml,1.0
brewed chai tea,1,ml,1.0
brewed coffee,1,ml,1.0
brewed decaff coffee,1,ml,1.0
brewed espresso,1,ml,1.18
brewed green tea,1,ml,1.0
brewed tea,1,ml,1.0
brie cheese,1,ml,0.61
broccoli,1,ml,0.38
brown mustard,1,ml,1.05
brown rice,1,ml,0.8
brown rice flour,1,ml,0.67
brown rice syrup,1,ml,1.41
brown sugar,1,ml,0.75
brown sugar substitute,1,ml,0.75
brownie,1,ml,0.96
browning sauce,1,ml,0.91
buckwheat flour,1,ml,0.51
buckwheat groat,1,ml,0.69
butter,1,ml,0.91
butter cracker,1,ml,0.3
butter extract,1,ml,0.88
butter lettuce,1,ml,0.23
butter pecan flavouring,1,ml,0.88
butter pecan ice cream,1,ml,0.56
buttermilk,1,ml,1.04
butternut squash,1,ml,0.59
butterscotch chips,1,ml,0.72
butterscotch extract,1,ml,0.88
butterscotch pudding mix,1,ml,0.3
butterscotch topping,1,ml,1.12
cabbage,1,ml,0.34
cake batter,1,ml,0.95
camembert cheese,1,ml,1.04
candied cherry,1,ml,1.22
candied ginger,1,ml,0.68
candied orange peel,1,ml,1.22
candied papaya,1,ml,0.52
candied pecans,1,ml,0.33
candied pineapple,1,ml,0.52
cane syrup,1,ml,1.39
canistel,1,ml,0.63
canned applesauce,1,ml canned,1.04
canned apricot,1,ml,1.12
canned apricot in juice,1,ml,1.12
canned apricot nectar,1,ml,1.06
canned artichoke hearts,1,ml,0.71
canned bamboo shoot,1,ml canned,0.55
canned beef stock,1,ml,1.01
canned bell pepper,1,ml,0.55
canned black bean,1,ml,1.01
canned black eyed peas,1,ml,1.01
canned bread crumb,1,ml,0.46
canned cherry,1,ml canned,0.76
canned chicken stock,1,ml canned,1.01
canned chickpeas,1,ml,1.01
canned chile,1,ml,1.01
canned chili pepper,1,ml,1.01
canned coconut milk,1,ml,0.97
canned coconut water,1,ml canned,1.01
canned corn,1,ml,1.08
canned corn kernel,1,ml,1.08
canned cranberry sauce,1,ml,1.17
canned cream of coconut,1,ml canned,1.27
canned creamed corn,1,ml,1.08
canned crushed tomatoes,1,ml canned,1.01
canned eggnog,1,ml,1.07
canned evaporated milk,1,ml,1.07
canned fruit cocktail,1,ml,1.05
canned jalapeno,1,ml,0.51
canned jalapeno pepper,1,ml,0.51
canned kidney bean in juice,1,ml,0.73
canned mandarin,1,ml,0.8
canned mandarin orange,1,ml,0.8
canned mango,1,ml,1.06
canned maraschino cherry,1,ml,0.76
canned maraschino cherry in juice,1,ml,0.76
canned mixed bean in juice,1,ml,0.77
canned mushroom,1,ml,0.77
canned mushrooms,1,ml,0.77
canned nopalitos,1,ml,0.63
canned peach in juice,1,ml canned,0.93
canned peas,1,ml,1.05
canned pina colada drink mix,1,ml,0.74
canned pineapple,1,ml,1.05
canned pineapple in juice,1,ml,1.05
canned pineapple juice,1,ml,1.06
canned pinto beans,1,ml,1.01
canned prepared lemon pudding,1,ml,1.24
canned prune,1,ml,0.74
canned pumpkin,1,ml,1.04
canned pumpkin pie filling,1,ml,1.14
canned pumpkin puree,1,ml,1.04
canned raspberry in juice,1,ml,1.06
canned sweet potato,1,ml,1.08
canned tomato,1,ml,1.01
canned tomato in juice,1,ml canned,1.01
canned tomato sauce,1,ml,1.04
canned tomatoes,1,ml,1.01
canned vegetable stock,1,ml,0.93
canned white bean in juice,1,ml,0.55
canned yam,1,ml,0.63
cannellini beans,1,ml,0.85
canola oil,1,ml,0.93
cantaloupe,1,ml,0.69
cantaloupe sherbet,1,ml,0.96
cap''n crunch cereal',1,ml,0.15
caper,1,ml,0.58
cappuccino chip,1,ml,0.09
cappuccino yogurt,1,ml,0.96
caramel extract,1,ml,0.88
caramel syrup,1,ml,1.35
caramel topping,1,ml,1.39
caraway seed,1,ml,0.44
cardamom,1,ml,0.4
carob powder,1,ml,1.01
carob soy milk,1,ml,1.0
carrot,1,ml,0.51
carrot baby food,1,ml,0.95
carrot juice,1,ml,1.0
cashew,1,ml,0.58
cashew butter,1,ml,1.08
caster sugar,1,ml,0.8
catalina dressing,1,ml,1.15
cauliflower,1,ml,0.45
cayenne pepper,1,ml,0.36
celeriac,1,ml,0.66
celery,1,ml,0.47
celery salt,1,ml,0.85
celery seed,1,ml,0.42
chai tea mix,1,ml,0.96
challah bread,1,ml,0.17
chamomile flower,1,ml,0.08
chard,1,ml,0.15
chardonnay wine,1,ml,0.99
cheddar cheese,1,ml,0.44
cheese,1,ml,0.44
cheese crackers,1,ml,0.28
cheesecake pudding mix,1,ml,0.11
cherry,1,ml,0.62
cherry chip,1,ml,0.3
cherry drink mix,1,ml,0.07
cherry juice,1,ml,1.0
cherry pie filling,1,ml,0.96
cherry soda,1,ml,1.04
cherry tomato,1,ml,0.63
cherry vanilla yogurt,1,ml,0.96
cherry yogurt,1,ml,0.96
chervil,1,ml,0.13
chestnut flour,1,ml,0.47
chia seed,1,ml,0.81
chianti,1,ml,0.99
chicken,1,ml,0.96
chicken bouillon cube,1,ml,0.41
chicken bouillon granules,1,ml,0.41
chicken bouillon powder,1,ml,0.41
chicken breast,1,ml,1.1
chicken stock,1,ml,1.01
chicken stuffing mix,1,ml,0.71
chickpea flour,1,ml,0.39
chili,1,ml,1.01
chili garlic sauce,1,ml,1.02
chili oil,1,ml,0.91
chili pepper,1,ml,0.63
chili powder,1,ml,0.54
chinese cabbage,1,ml,0.3
chipotle pepper,1,ml,0.41
chipotle powder,1,ml,0.54
chive,1,ml,0.2
chocolate,1,ml,0.69
chocolate chip,1,ml,0.74
chocolate chip cookie,1,ml,0.96
chocolate chips,1,ml,0.74
chocolate cookie,1,ml,0.96
chocolate covered espresso beans,1,ml,0.61
chocolate covered peanuts,1,ml,0.63
chocolate flavoring,1,ml,0.88
chocolate frozen yogurt,1,ml,0.79
chocolate fudge pudding mix,1,ml,0.3
chocolate hazelnut spread,1,ml,0.96
chocolate ice cream,1,ml,0.56
chocolate milk,1,ml,1.06
chocolate milk mix,1,ml,0.08
chocolate mocha syrup,1,ml,1.18
chocolate protein powder,1,ml,0.75
chocolate pudding mix,1,ml,1.24
chocolate sorbet,1,ml,0.56
chocolate soy milk,1,ml,1.0
chocolate syrup,1,ml,1.27
chocolate toffee,1,ml,0.96
chocolate wafers with a sweet cream filling,1,ml,0.47
chunky peanut butter,1,ml,1.09
cider vinegar,1,ml,1.01
cilantro,1,ml,0.07
cinnamon,1,ml,0.53
cinnamon chips,1,ml,1.01
cinnamon sugar,1,ml,0.75
cinnamon yogurt,1,ml,1.04
citrus juice,1,ml,1.06
clarified butter,1,ml,0.87
clotted cream,1,ml,0.2
clove,1,ml,0.43
cocoa,1,ml,0.34
coconut,1,ml,1.01
coconut butter,1,ml,1.08
coconut coffee creamer,1,ml,1.01
coconut cream,1,ml,1.27
coconut cream pudding mix,1,ml,1.24
coconut extract,1,ml,0.88
coconut flakes,1,ml,0.36
coconut flavoring,1,ml,0.88
coconut flour,1,ml,0.54
coconut milk,1,ml,0.97
coconut milk powder,1,ml,0.68
coconut oil,1,ml,0.95
coconut pudding mix,1,ml,1.24
coconut rum,1,ml,0.93
coconut sorbet,1,ml,0.86
coconut sugar,1,ml,0.81
coconut syrup,1,ml,1.62
coconut water,1,ml,1.01
coconut yogurt,1,ml,0.96
coffee,1,ml,0.2
coffee beans,1,ml,0.42
coffee creamer,1,ml,1.01
coffee creamer powder,1,ml,0.61
coffee extract,1,ml,0.88
coffee frozen yogurt,1,ml,0.85
coffee ice cream,1,ml,0.92
coffee liqueur,1,ml,1.17
coffee soy milk,1,ml,1.03
coffee syrup,1,ml,0.88
coffee yogurt,1,ml,0.96
cointreau liqueur,1,ml,1.18
coke,1,ml,1.04
colby jack cheese,1,ml,0.52
collard green,1,ml,1.08
concentrated apple juice,1,ml,1.05
concentrated cherry juice,1,ml,1.0
concentrated iced tea,1,ml,1.0
concentrated lemonade,1,ml,1.01
concentrated orange juice,1,ml,1.05
concentrated orange pineapple juice,1,ml,1.04
concentrated pina colada,1,ml,1.01
condensed milk,1,ml,1.29
cooked bacon,1,ml,0.96
cooked beef,1,ml,0.96
cooked brown rice,1,ml,0.82
cooked chicken,1,ml,0.57
cooked chicken breast,1,ml,0.59
cooked couscous,1,ml,0.66
cooked egg noodle,1,ml,0.59
cooked oatmeal,1,ml,0.99
cooked orzo,1,ml,0.59
cooked pumpkin,1,ml,1.04
cooked quinoa,1,ml,0.78
cooked rice,1,ml,0.67
